sequence	16S_rRNA_Count	metadata_NSTI
ASV0382	2	0.009826999999999999
ASV0383	2	0.030825
ASV0384	1	0.051878
ASV0385	1	0.592646
ASV0386	5	0.037186000000000004
ASV0387	1	0.057165
ASV0388	2	0.47845699999999997
ASV0389	5	0.008399
ASV0390	1	0.00015
ASV0391	1	0.075786
ASV0392	1	0.34075900000000003
ASV0393	1	0.087828
ASV0394	1	0.189419
ASV0395	1	0.027939999999999996
ASV0396	1	0.033374
ASV0397	1	0.08712
ASV0398	1	0.316313
ASV0399	3	0.026507
ASV0400	2	0.002124
ASV0401	1	0.286423
ASV0402	1	0.069338
ASV0403	1	0.171759
ASV0404	1	0.220441
ASV0405	1	0.007764
ASV0406	1	0.180922
ASV0407	2	0.002152
ASV0408	1	0.22316999999999998
ASV0409	1	0.172995
ASV0410	2	0.055050999999999996
ASV0411	1	0.271905
ASV0412	1	0.017262
ASV0413	1	0.094488
ASV0414	2	0.004308
ASV0415	1	0.047002999999999996
ASV0416	2	0.48608199999999996
ASV0417	1	0.057260000000000005
ASV0418	3	0.007273999999999999
ASV0419	1	0.05481900000000001
ASV0420	1	0.656648
ASV0421	1	0.22354699999999997
ASV0422	1	0.258062
ASV0423	1	0.016805
ASV0424	1	0.059894
ASV0425	1	0.047136000000000004
ASV0426	1	0.079663
ASV0427	1	0.021205
ASV0428	1	0.22223600000000002
ASV0429	1	0.030910000000000003
ASV0430	1	0.166783
ASV0431	1	0.056151
ASV0432	1	0.053009
ASV0433	1	0.043486000000000004
ASV0434	5	0.067625
ASV0435	1	0.08797999999999999
ASV0436	1	0.158946
ASV0437	1	0.004231
ASV0438	1	0.23187800000000003
ASV0439	1	0.10681099999999999
ASV0440	1	0.15193800000000002
ASV0441	1	0.08315
ASV0442	1	0.073848
ASV0443	1	0.065987
ASV0444	1	0.053358
ASV0445	1	0.168015
ASV0446	5	0.0881
ASV0447	1	0.200075
ASV0448	1	0.213252
ASV0449	1	0.020835
ASV0450	1	0.34513299999999997
ASV0451	1	0.032757
ASV0452	1	0.052792
ASV0453	1	0.266298
ASV0454	1	0.149946
ASV0455	1	0.332342
ASV0456	1	0.030985000000000002
ASV0457	1	0.6235350000000001
ASV0458	1	0.303433
ASV0459	1	0.017981
ASV0460	1	0.34617
ASV0461	3	0.024063
ASV0462	1	0.158271
ASV0463	5	0.021771000000000002
ASV0464	1	0.08490299999999999
ASV0465	1	0.079448
ASV0466	1	0.059239
ASV0467	1	0.356432
ASV0468	1	0.191972
ASV0469	1	0.233146
ASV0470	1	0.061673
ASV0471	1	0.020847
ASV0472	1	0.074192
ASV0473	1	0.174735
ASV0474	1	0.105235
ASV0475	1	0.44149499999999997
ASV0476	1	0.153945
ASV0477	1	0.067527
ASV0478	1	0.056463
ASV0479	1	0.038287
ASV0480	2	0.026180000000000002
